date,week_in_year
2018/1/1,1
2018/1/8,2
2018/1/15,3
2018/1/22,4
2018/1/29,5
2018/2/5,6
2018/2/12,7
2018/2/19,8
2018/2/26,9
2018/3/5,10
2018/3/12,11
2018/3/19,12
2018/3/26,13
2018/4/2,14
2018/4/9,15
2018/4/16,16
2018/4/23,17
2018/4/30,18
2018/5/7,19
2018/5/14,20
2018/5/21,21
2018/5/28,22
2018/6/4,23
2018/6/11,24
2018/6/18,25
2018/6/25,26
2018/7/2,27
2018/7/9,28
2018/7/16,29
2018/7/23,30
2018/7/30,31
2018/8/6,32
2018/8/13,33
2018/8/20,34
2018/8/27,35
2018/9/3,36
2018/9/10,37
2018/9/17,38
2018/9/24,39
2018/10/1,40
2018/10/8,41
2018/10/15,42
2018/10/22,43
2018/10/29,44
2018/11/5,45
2018/11/12,46
2018/11/19,47
2018/11/26,48
2018/12/3,49
2018/12/10,50
2018/12/17,51
2018/12/24,52
2018/12/31,53
2019/1/7,2
2019/1/14,3
2019/1/21,4
2019/1/28,5
2019/2/4,6
2019/2/11,7
2019/2/18,8
2019/2/25,9
2019/3/4,10
2019/3/11,11
2019/3/18,12
2019/3/25,13
2019/4/1,14
2019/4/8,15
2019/4/15,16
2019/4/22,17
2019/4/29,18
2019/5/6,19
2019/5/13,20
2019/5/20,21
2019/5/27,22
2019/6/3,23
2019/6/10,24
2019/6/17,25
2019/6/24,26
2019/7/1,27
2019/7/8,28
2019/7/15,29
2019/7/22,30
2019/7/29,31
2019/8/5,32
2019/8/12,33
2019/8/19,34
2019/8/26,35
2019/9/2,36
2019/9/9,37
2019/9/16,38
2019/9/23,39
2019/9/30,40
2019/10/7,41
2019/10/14,42
2019/10/21,43
2019/10/28,44
2019/11/4,45
2019/11/11,46
2019/11/18,47
2019/11/25,48
2019/12/2,49
2019/12/9,50
2019/12/16,51
2019/12/23,52
2019/12/30,53
2020/1/6,2
2020/1/13,3
2020/1/20,4
2020/1/27,5
2020/2/3,6
2020/2/10,7
2020/2/17,8
2020/2/24,9
2020/3/2,10
2020/3/9,11
2020/3/16,12
2020/3/23,13
2020/3/30,14
2020/4/6,15
2020/4/13,16
2020/4/20,17
2020/4/27,18
2020/5/4,19
2020/5/11,20
2020/5/18,21
2020/5/25,22
2020/6/1,23
2020/6/8,24
2020/6/15,25
2020/6/22,26
2020/6/29,27
2020/7/6,28
2020/7/13,29
2020/7/20,30
2020/7/27,31
2020/8/3,32
2020/8/10,33
2020/8/17,34
2020/8/24,35
2020/8/31,36
2020/9/7,37
2020/9/14,38
2020/9/21,39
2020/9/28,40
2020/10/5,41
2020/10/12,42
2020/10/19,43
2020/10/26,44
2020/11/2,45
2020/11/9,46
2020/11/16,47
2020/11/23,48
2020/11/30,49
2020/12/7,50
2020/12/14,51
2020/12/21,52
2020/12/28,53
2021/1/4,2
2021/1/11,3
2021/1/18,4
2021/1/25,5
2021/2/1,6
2021/2/8,7
2021/2/15,8
2021/2/22,9
2021/3/1,10
2021/3/8,11
2021/3/15,12
2021/3/22,13
2021/3/29,14
2021/4/5,15
2021/4/12,16
2021/4/19,17
2021/4/26,18
2021/5/3,19
2021/5/10,20
2021/5/17,21
2021/5/24,22
2021/5/31,23
2021/6/7,24
2021/6/14,25
2021/6/21,26
2021/6/28,27
2021/7/5,28
2021/7/12,29
2021/7/19,30
2021/7/26,31
2021/8/2,32
2021/8/9,33
2021/8/16,34
2021/8/23,35
2021/8/30,36
2021/9/6,37
2021/9/13,38
2021/9/20,39
2021/9/27,40
2021/10/4,41
2021/10/11,42
2021/10/18,43
2021/10/25,44
2021/11/1,45
2021/11/8,46
2021/11/15,47
2021/11/22,48
2021/11/29,49
2021/12/6,50
2021/12/13,51
2021/12/20,52
2021/12/27,53
2022/1/3,2
2022/1/10,3
2022/1/17,4
2022/1/24,5
2022/1/31,6
2022/2/7,7
2022/2/14,8
2022/2/21,9
2022/2/28,10
2022/3/7,11
2022/3/14,12
2022/3/21,13
2022/3/28,14
2022/4/4,15
2022/4/11,16
2022/4/18,17
2022/4/25,18
2022/5/2,19
2022/5/9,20
2022/5/16,21
2022/5/23,22
2022/5/30,23
2022/6/6,24
2022/6/13,25
2022/6/20,26
2022/6/27,27
2022/7/4,28
2022/7/11,29
2022/7/18,30
2022/7/25,31
2022/8/1,32
2022/8/8,33
2022/8/15,34
2022/8/22,35
2022/8/29,36
2022/9/5,37
2022/9/12,38
2022/9/19,39
2022/9/26,40
2022/10/3,41
2022/10/10,42
